Séance,ISIN.,Val.,Ouv.,Clô.,+ haut,+ bas,CMP,Nb. Tr.,Qté,Cap.
06/02/2026,TN0005030010,STIP,0,0,0,0,0,0,0,0
06/02/2026,TN0007600018,SOTEMAIL,0,0,0,0,0,0,0,0
06/02/2026,TN0007650013,TAWASOL GP HOLDING,0.84,0.84,0.84,0.84,0.84,16,7099,5963.16
06/02/2026,TN0007730013,SANIMED,0.78,0.78,0.78,0.78,0.78,2,47,36.66
06/02/2026,TN0007700016,OFFICEPLAST,2.41,2.43,2.44,2.33,2.396,112,43245,103597.83
06/02/2026,TN0007540016,NEW BODY LINE,3.76,3.76,3.83,3.76,3.767,5,443,1668.97
06/02/2026,TN0007510019,LAND OR,15.68,15.6,15.7,15.43,15.541,21,3881,60312.92
06/02/2026,TN0007400013,CARTHAGE CEMENT,1.86,1.93,1.95,1.86,1.923,277,251586,483703.69
06/02/2026,TN0007500010,AETECH,0,0,0,0,0,0,0,0
06/02/2026,TN0007720022,UMED D76/509 26716,0,0,0,0,0,0,0,0
06/02/2026,TN0006560098,STV02 3/10 010102,0,0,0,0,0,0,0,0
06/02/2026,TN0006660104,STPILDA1/56 300617,0,0,0,0,0,0,0,0
06/02/2026,TN0006660039,STPILDA0807 1/10,0,0,0,0,0,0,0,0
06/02/2026,TN0007180037,SITSDa1/9 28/03/07,0,0,0,0,0,0,0,0
06/02/2026,TN0001100312,SFBTDa1/2(11/4/02),0,0,0,0,0,0,0,0
06/02/2026,TN0007270036,Da TPR 11/149 2006,0,0,0,0,0,0,0,0
06/02/2026,TN0002200251,BTDa1/7(3/12/01),0,0,0,0,0,0,0,0
06/02/2026,TN0001900778,BHDA 1/15 28052007,0,0,0,0,0,0,0,0
06/02/2026,TN0006610141,ATTIJARI LS ROMPU,0,0,0,0,0,0,0,0
06/02/2026,TN0003600434,ATBDA1/7 09/11/05,0,0,0,0,0,0,0,0
06/02/2026,TN0007140031,ASSDa1/9(01/07/05),0,0,0,0,0,0,0,0
06/02/2026,TN0002300424,ALQDa1/12 06/09/05,0,0,0,0,0,0,0,0
06/02/2026,TN0003400272,ABDA 1/14 11122007,0,0,0,0,0,0,0,0
06/02/2026,TN0006170013,STE TUN. DU SUCRE,9.34,9.34,9.34,9.34,9.34,1,100,934
06/02/2026,TN0004300307,SITEX,0,0,0,0,0,0,0,0
06/02/2026,TN0007680010,BNA ASSURANCES,3.07,3.07,3.09,3,3.055,60,13268,40538.32
06/02/2026,TN0002400505,UBCI,38.7,38.7,38.7,38.7,38.7,1,1,38.7
06/02/2026,TN0004100202,TUNINVEST-SICAR,41.5,41.5,41.5,41.5,41.5,5,28,1162
06/02/2026,TN0001400704,SPDIT - SICAF,12.96,12.8,12.96,12.8,12.827,2,6,76.96
06/02/2026,TN0006670012,SIPHAT,0,0,0,0,0,0,0,0
06/02/2026,TN0002500650,PLAC. TSIE-SICAF,0,0,0,0,0,0,0,0
06/02/2026,TN0003200755,ICF,77.05,77,79,76.9,77.24,32,855,66040.48
06/02/2026,TN0001300557,BTE (ADP),0,0,0,0,0,0,0,0
06/02/2026,TN0007580012,BEST LEASE,0,0,0,0,0,0,0,0
06/02/2026,TN0003000452,ASTREE,0,0,0,0,0,0,0,0
06/02/2026,TN0006550016,BH ASSURANCE,0,0,0,0,0,0,0,0
06/02/2026,TN0003800703,ALKIMIA,0,0,0,0,0,0,0,0
06/02/2026,TN0002300358,AIR LIQUIDE TSIE,163,163,163,163,163,14,78,12714
06/02/2026,TN0007200017,WIFACK INT BANK,7.2,7.03,7.2,7.03,7.129,8,1113,7934.89
06/02/2026,TN0007720014,UNIMED,9.06,9.19,9.2,9.06,9.15,39,9922,90791.11
